SL.NO.,HEADLINE,URL
2,How the anti-defection law is going to operate in the AIADMK case?,https://www.thehindu.com/news/national/tamil-nadu/how-the-anti-defection-law-is-going-to-operate-in-the-aiadmk-case/article70975597.ece
3,There are two grounds for disqualification in the event of defection — when a member voluntarily gives up membership of his or her political party and when a member votes or abstains from voting contrary to any direction issued by his or her political party,https://www.thehindu.com/news/national/tamil-nadu/how-the-anti-defection-law-is-going-to-operate-in-the-aiadmk-case/article70975597.ece
5,Vijay wins floor test in Assembly comfortably with 144 votes after AIADMK split,https://www.thehindu.com/news/national/tamil-nadu/tamil-nadu-cm-joseph-vijay-wins-floor-test-in-assembly-comfortably-with-144-votes/article70973260.ece
7,Device with low-grade explosives found inside private hospital in Pune; ATS joins probe,https://www.thehindu.com/news/national/maharashtra/device-with-low-grade-explosives-found-inside-private-hospital-in-pune-ats-joins-probe/article70975740.ece
9,Congress high command defers announcement of Kerala CM designate to May 14,https://www.thehindu.com/news/national/kerala/cong-high-command-defers-announcement-of-kerala-cm-designate-to-thursday/article70974983.ece
10,‘Limited’ traditional and religious symbols to be allowed with prescribed uniforms in Karnataka schools and colleges,https://www.thehindu.com/news/national/karnataka/limited-traditional-and-religious-symbols-to-be-allowed-with-prescribed-uniforms-in-karnataka-schools-and-colleges/article70974812.ece
11,Nicobarese oppose proposal for three wildlife sanctuaries,https://www.thehindu.com/news/national/nicobarese-oppose-proposal-for-three-wildlife-sanctuaries/article70973890.ece
12,"In 2024, NTA and Govt. did not want to cancel NEET, cited student welfare in Supreme Court",https://www.thehindu.com/news/national/in-2024-nta-and-govt-did-not-want-to-cancel-neet-cited-student-welfare-in-supreme-court/article70974319.ece
13,Three tribal church leaders killed in Manipur ambush,https://www.thehindu.com/news/national/manipur/manipur-kangpokpi-tribal-church-leaders-attack/article70975349.ece
14,"In Iran’s holy city of Qom, Indian volunteers serve sharbat amid war fears and protests",https://www.thehindu.com/news/international/in-irans-holy-city-of-qom-indian-volunteers-serve-sharbat-amid-war-fears-and-protests/article70975038.ece
15,King’s Speech outlines U.K. govt. agenda as Starmer’s future hangs in the balance,https://www.thehindu.com/news/international/kings-speech-outlines-uk-govt-agenda-asstarmersfuture-hangs-in-the-balance/article70974268.ece
17,Baltimore bridge collapse: Highest-ever marine damages payout of $2.5 billion for Indian-managed ship Dali,https://www.thehindu.com/business/Industry/baltimore-bridge-collapse-highest-ever-marine-damages-payout-of25-billionfor-indian-managed-ship-dali/article70973846.ece
18,"Testing troubles: On the National Testing Agency, NEET-UG 2026",https://www.thehindu.com/opinion/editorial/testing-troubles-on-the-national-testing-agency-neet-ug-2026/article70974446.ece
19,Elusive peace: On the Russia-Ukraine war,https://www.thehindu.com/opinion/editorial/elusive-peace-on-the-russia-ukraine-war/article70970353.ece
28,The Xi-Trump summit — shadow boxing on Iran,https://www.thehindu.com/opinion/op-ed/the-xi-trump-summit-shadow-boxing-on-iran/article70975037.ece
36,Kohli’s masterful knock powers Royal Challengers to the top,https://www.thehindu.com/sport/cricket/kohlis-masterful-knock-powers-royal-challengers-to-the-top/article70975813.ece
37,Learn from Sri Lanka’s experience on impact of fertilizer supply chains: experts,https://www.thehindu.com/business/Economy/learn-from-sri-lankas-experience-on-impact-of-fertilizer-supply-chains-experts/article70974111.ece
